time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
11707,0,0,0,12188,3492
11707,0,0,0,12156,3524
11707,0,0,0,12154,3526
11707,0,0,0,12026,3654
11707,0,0,0,12025,3655
11707,0,0,0,12023,3657
11707,0,0,0,12022,3658
11707,0,0,0,12018,3662
11707,0,0,0,12017,3663
11707,0,0,0,11985,3695
11707,0,0,0,11984,3696
11707,0,0,0,11983,3697
11707,0,0,0,11982,3698
11707,0,0,0,11981,3699
11707,0,0,0,11977,3703
11707,0,0,0,11976,3704
11707,0,0,0,11975,3705
11707,0,0,0,11959,3721
11707,0,0,0,11951,3729
11707,0,0,0,11919,3761
11707,0,0,0,11918,3762
11707,0,0,0,11662,4018
11707,0,0,0,11661,4019
11707,0,0,0,11660,4020
11709,0,0,0,11676,4004
11711,0,0,0,11660,4020
11712,0,0,0,11676,4004
11713,0,0,0,11672,4008
11716,0,0,0,11676,4004
11717,0,0,0,11675,4005
11718,0,0,0,11676,4004
11719,0,0,0,11548,4132
11721,0,0,0,11676,4004
11722,0,0,0,11644,4036
11724,0,0,0,11676,4004
11726,0,0,0,11668,4012
11727,0,0,0,11676,4004
11728,0,0,0,11672,4008
11729,0,0,0,11676,4004
11730,0,0,0,11677,4003
11730,0,0,0,11685,3995
11730,0,0,0,11686,3994
11730,0,0,0,11690,3990
11730,0,0,0,11692,3988
11730,0,0,0,11693,3987
11730,0,0,0,11694,3986
11730,0,0,0,11702,3978
11730,0,0,0,11958,3722
11731,0,0,0,11957,3723
11732,0,0,0,11973,3707
11732,0,0,0,11974,3706
11732,0,0,0,12102,3578
11732,0,0,0,12106,3574
11732,0,0,0,12107,3573
11732,0,0,0,12108,3572
11732,0,0,0,12109,3571
11732,0,0,0,12141,3539
11732,0,0,0,12269,3411
11732,0,0,0,12270,3410
11732,0,0,0,12272,3408
11732,0,0,0,12273,3407
11732,0,0,0,12277,3403
11732,0,0,0,12278,3402
11732,0,0,0,12310,3370
11732,0,0,0,12311,3369
11732,0,0,0,12312,3368
11732,0,0,0,12313,3367
11732,0,0,0,12317,3363
11732,0,0,0,12318,3362
11732,0,0,0,12350,3330
11732,0,0,0,12351,3329
11732,0,0,0,12352,3328
11732,0,0,0,12353,3327
11734,0,0,0,12352,3328
11735,0,0,0,12353,3327
11738,0,0,0,12352,3328
11740,0,0,0,12353,3327
11743,0,0,0,12352,3328
11744,0,0,0,12353,3327
11747,0,0,0,12352,3328
11748,0,0,0,12353,3327
11750,0,0,0,12097,3583
11752,0,0,0,12353,3327
11754,0,0,0,12337,3343
11755,0,0,0,12353,3327
11756,0,0,0,12225,3455
11758,0,0,0,12353,3327
11759,0,0,0,12352,3328
11761,0,0,0,12353,3327
11762,0,0,0,12352,3328
11763,0,0,0,12353,3327
11764,0,0,0,12352,3328
11766,0,0,0,12353,3327
11767,0,0,0,12321,3359
11768,0,0,0,12353,3327
11769,0,0,0,12352,3328
11771,0,0,0,12353,3327
11773,0,0,0,12097,3583
11774,0,0,0,12353,3327
11776,0,0,0,12352,3328
11777,0,0,0,12353,3327
11779,0,0,0,12345,3335
11781,0,0,0,12353,3327
11783,0,0,0,12337,3343
11784,0,0,0,12353,3327
11786,0,0,0,12337,3343
11788,0,0,0,12353,3327
11790,0,0,0,12351,3329
11792,0,0,0,12353,3327
11794,0,0,0,12349,3331
11795,0,0,0,12353,3327
11797,0,0,0,12352,3328
11798,0,0,0,12353,3327
11801,0,0,0,12352,3328
11802,0,0,0,12353,3327
11804,0,0,0,12352,3328
11805,0,0,0,12353,3327
11807,0,0,0,12345,3335
11808,0,0,0,12353,3327
11810,0,0,0,12352,3328
11812,0,0,0,12353,3327
11814,0,0,0,12352,3328
11816,0,0,0,12353,3327
11818,0,0,0,12352,3328
11819,0,0,0,12353,3327
11821,0,0,0,12225,3455
11822,0,0,0,12353,3327
11824,0,0,0,12337,3343
11824,0,0,0,12336,3344
11826,0,0,0,12352,3328
11827,0,0,0,12288,3392
11828,0,0,0,12352,3328
11829,0,0,0,12288,3392
11830,0,0,0,12352,3328
11832,0,0,0,12348,3332
11832,0,0,0,12347,3333
11832,0,0,0,12331,3349
11832,0,0,0,12330,3350
11832,0,0,0,12322,3358
11832,0,0,0,12066,3614
11832,0,0,0,12058,3622
11832,0,0,0,11930,3750
11832,0,0,0,11929,3751
11832,0,0,0,11928,3752
11832,0,0,0,11927,3753
11835,0,0,0,11928,3752
11836,0,0,0,11800,3880
11836,0,0,0,11784,3896
11836,0,0,0,11656,4024
11836,0,0,0,11655,4025
11836,0,0,0,11651,4029
11836,0,0,0,11635,4045
11836,0,0,0,11627,4053
11836,0,0,0,11626,4054
11836,0,0,0,11625,4055
11836,0,0,0,11609,4071
11836,0,0,0,11608,4072
11836,0,0,0,11352,4328
11836,0,0,0,11351,4329
11847,0,0,0,11095,4585
11873,0,0,0,10839,4841
11873,0,0,0,10823,4857
11873,0,0,0,10822,4858
11873,0,0,0,10821,4859
11873,0,0,0,10817,4863
11873,0,0,0,10816,4864
11873,0,0,0,10808,4872
11873,0,0,0,10807,4873
11873,0,0,0,10679,5001
11873,0,0,0,10663,5017
11873,0,0,0,10659,5021
11873,0,0,0,10531,5149
11873,0,0,0,10530,5150
11873,0,0,0,10529,5151
11873,0,0,0,10465,5215
11873,0,0,0,10209,5471
11873,0,0,0,9953,5727
11873,0,0,0,9952,5728
11873,0,0,0,9951,5729
11873,0,0,0,9947,5733
11873,0,0,0,9946,5734
11873,0,0,0,9930,5750
11873,0,0,0,9674,6006
11873,0,0,0,9673,6007
11873,0,0,0,9672,6008
11873,0,0,0,9416,6264
11873,0,0,0,9415,6265
11873,0,0,0,9287,6393
11873,0,0,0,9279,6401
11873,0,0,0,9023,6657
11873,0,0,0,9015,6665
11873,0,0,0,9014,6666
11891,0,0,0,9142,6538
11893,0,0,0,9158,6522
11895,0,0,0,9159,6521
11896,0,0,0,9415,6265
11896,0,0,0,9431,6249
11896,0,0,0,9432,6248
11896,0,0,0,9433,6247
11896,0,0,0,9437,6243
11896,0,0,0,9438,6242
11896,0,0,0,9446,6234
11896,0,0,0,9447,6233
11896,0,0,0,9575,6105
11896,0,0,0,9591,6089
11896,0,0,0,9595,6085
11896,0,0,0,9723,5957
11896,0,0,0,9724,5956
11896,0,0,0,9725,5955
11896,0,0,0,9789,5891
11896,0,0,0,10045,5635
11896,0,0,0,10301,5379
11896,0,0,0,10302,5378
11896,0,0,0,10303,5377
11896,0,0,0,10307,5373
11896,0,0,0,10308,5372
11896,0,0,0,10324,5356
11896,0,0,0,10580,5100
11896,0,0,0,10581,5099
11896,0,0,0,10582,5098
11896,0,0,0,10838,4842
11896,0,0,0,10839,4841
11896,0,0,0,10967,4713
11896,0,0,0,10975,4705
11896,0,0,0,11231,4449
11896,0,0,0,11239,4441
11896,0,0,0,11240,4440
11913,0,0,0,11241,4439
11921,0,0,0,11209,4471
11921,0,0,0,11177,4503
11925,0,0,0,11433,4247
11947,0,0,0,11432,4248
11959,0,0,0,11304,4376
11959,0,0,0,11303,4377
11994,0,0,0,11047,4633
12001,0,0,0,11031,4649
12026,0,0,0,11032,4648
12044,0,0,0,11031,4649
12044,0,0,0,10903,4777
12044,0,0,0,10895,4785
12044,0,0,0,10639,5041
12044,0,0,0,10638,5042
12044,0,0,0,10636,5044
12044,0,0,0,10620,5060
