time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
14095.1,0,0,0,1,511
14095.1,0,0,0,0,512
14096,0,0,0,1,511
14096,0,0,0,0,512
14098.1,0,0,0,1,511
14098.1,0,0,0,0,512
14103.1,0,0,0,1,511
14103.1,0,0,0,0,512
14121.1,0,0,0,1,511
14121.1,0,0,0,0,512
14132,0,0,0,1,511
14132,0,0,0,0,512
14144.1,0,0,0,1,511
14144.1,0,0,0,0,512
14155,0,0,0,1,511
14155,0,0,0,0,512
14166,0,0,0,1,511
14166,0,0,0,0,512
14167.1,0,0,0,1,511
14167.1,0,0,0,0,512
14178,0,0,0,1,511
14178,0,0,0,0,512
14184.1,0,0,0,1,511
14184.1,0,0,0,0,512
14189,0,0,0,1,511
14189,0,0,0,0,512
14190.1,0,0,0,1,511
14190.1,0,0,0,0,512
14201,0,0,0,1,511
14201,0,0,0,0,512
14212,0,0,0,1,511
14212,0,0,0,0,512
14213.1,0,0,0,1,511
14213.1,0,0,0,0,512
14224,0,0,0,1,511
14224,0,0,0,0,512
14235,0,0,0,1,511
14235,0,0,0,0,512
14236.1,0,0,0,1,511
14236.1,0,0,0,0,512
14250,0,0,0,1,511
14250,0,0,0,0,512
14251.1,0,0,0,1,511
14251.1,0,0,0,0,512
14265,0,0,0,1,511
14265,0,0,0,0,512
14266.1,0,0,0,1,511
14266.1,0,0,0,0,512
14280,0,0,0,1,511
14280,0,0,0,0,512
14281.1,0,0,0,1,511
14281.1,0,0,0,0,512
14295,0,0,0,1,511
14295,0,0,0,0,512
14296.1,0,0,0,1,511
14296.1,0,0,0,0,512
14303,0,0,0,1,511
14303,0,0,0,0,512
14310,0,0,0,1,511
14310,0,0,0,0,512
14311.1,0,0,0,1,511
14311.1,0,0,0,0,512
14318,0,0,0,1,511
14318,0,0,0,0,512
14324,0,0,0,1,511
14324,0,0,0,0,512
14326.1,0,0,0,1,511
14326.1,0,0,0,0,512
14333,0,0,0,1,511
14333,0,0,0,0,512
14339,0,0,0,1,511
14339,0,0,0,0,512
14341.1,0,0,0,1,511
14341.1,0,0,0,0,512
14348,0,0,0,1,511
14348,0,0,0,0,512
14350,0,0,0,1,511
14350,0,0,0,0,512
14351,0,0,0,1,511
14351,0,0,0,0,512
14353,0,0,0,1,511
14353,0,0,0,0,512
14355,0,0,0,1,511
14355,0,0,0,0,512
14356,0,0,0,1,511
14356,0,0,0,0,512
14358,0,0,0,1,511
14358,0,0,0,0,512
14360,0,0,0,1,511
14360,0,0,0,0,512
14361,0,0,0,1,511
14361,0,0,0,0,512
14362,0,0,0,1,511
14362.1,0,0,0,0,512
14364.1,0,0,0,1,511
14364.1,0,0,0,0,512
14365.1,0,0,0,1,511
14365.1,0,0,0,0,512
14367.1,0,0,0,1,511
14367.1,0,0,0,0,512
14368.1,0,0,0,1,511
14368.1,0,0,0,0,512
14370.1,0,0,0,1,511
14370.1,0,0,0,0,512
14371.1,0,0,0,1,511
14371.1,0,0,0,0,512
14372.1,0,0,0,1,511
14372.1,0,0,0,0,512
14374.1,0,0,0,1,511
14374.1,0,0,0,0,512
14376.1,0,0,0,1,511
14376.1,0,0,0,0,512
14377.1,0,0,0,1,511
14377.1,0,0,0,0,512
14379.1,0,0,0,1,511
14379.1,0,0,0,0,512
14381.1,0,0,0,1,511
14381.1,0,0,0,0,512
14382.1,0,0,0,1,511
14382.1,0,0,0,0,512
14383.1,0,0,0,1,511
14383.1,0,0,0,0,512
14384.1,0,0,0,1,511
14384.1,0,0,0,0,512
14385.1,0,0,0,1,511
14385.1,0,0,0,0,512
14386.1,0,0,0,1,511
14386.1,0,0,0,0,512
14387.1,0,0,0,1,511
14387.1,0,0,0,0,512
14389.1,0,0,0,1,511
14389.1,0,0,0,0,512
14390.1,0,0,0,1,511
14390.1,0,0,0,0,512
14391.1,0,0,0,1,511
14391.1,0,0,0,0,512
14418.1,0,0,0,1,511
14418.1,0,0,0,0,512
14420.1,0,0,0,1,511
14420.1,0,0,0,0,512
14422.1,0,0,0,1,511
14422.1,0,0,0,0,512
14423.1,0,0,0,1,511
14423.1,0,0,0,0,512
14424.1,0,0,0,1,511
14424.1,0,0,0,0,512
14426.1,0,0,0,1,511
14426.1,0,0,0,0,512
14428.1,0,0,0,1,511
14428.1,0,0,0,0,512
14429.1,0,0,0,1,511
14429.1,0,0,0,0,512
14430.1,0,0,0,1,511
14430.1,0,0,0,0,512
14431.1,0,0,0,1,511
14431.2,0,0,0,0,512
14433.2,0,0,0,1,511
14433.2,0,0,0,0,512
14434.2,0,0,0,1,511
14434.2,0,0,0,0,512
14435.2,0,0,0,1,511
14435.2,0,0,0,0,512
14436.2,0,0,0,1,511
14436.2,0,0,0,0,512
14439.2,0,0,0,1,511
14439.2,0,0,0,0,512
14440.2,0,0,0,1,511
14440.2,0,0,0,0,512
14441.1,0,0,0,1,511
14441.1,0,0,0,0,512
14441.2,0,0,0,1,511
14441.2,0,0,0,0,512
14442.2,0,0,0,1,511
14442.2,0,0,0,0,512
14443.1,0,0,0,1,511
14443.1,0,0,0,0,512
14443.2,0,0,0,1,511
14443.2,0,0,0,0,512
14444.1,0,0,0,1,511
14444.1,0,0,0,0,512
14444.2,0,0,0,1,511
14444.2,0,0,0,0,512
14445.1,0,0,0,1,511
14445.1,0,0,0,0,512
14446.1,0,0,0,1,511
14446.1,0,0,0,0,512
14446.2,0,0,0,1,511
14446.2,0,0,0,0,512
14447.2,0,0,0,1,511
14447.2,0,0,0,0,512
14448.1,0,0,0,1,511
14448.1,0,0,0,0,512
14448.2,0,0,0,1,511
14448.2,0,0,0,0,512
14449.1,0,0,0,1,511
14449.1,0,0,0,0,512
14449.2,0,0,0,1,511
14449.2,0,0,0,0,512
14450.1,0,0,0,1,511
14450.1,0,0,0,0,512
14450.2,0,0,0,1,511
14450.2,0,0,0,0,512
14451.1,0,0,0,1,511
14451.1,0,0,0,0,512
14451.2,0,0,0,1,511
14451.2,0,0,0,0,512
14452.1,0,0,0,1,511
14452.1,0,0,0,0,512
14453.1,0,0,0,1,511
14453.1,0,0,0,0,512
14453.2,0,0,0,1,511
14453.2,0,0,0,0,512
14454.1,0,0,0,1,511
14454.1,0,0,0,0,512
14454.2,0,0,0,1,511
14454.2,0,0,0,0,512
14456.1,0,0,0,1,511
14456.1,0,0,0,0,512
14456.2,0,0,0,1,511
14456.2,0,0,0,0,512
14457.2,0,0,0,1,511
14457.2,0,0,0,0,512
14458.1,0,0,0,1,511
14458.1,0,0,0,0,512
14458.2,0,0,0,1,511
14458.2,0,0,0,0,512
14459.1,0,0,0,1,511
14459.1,0,0,0,0,512
14460.1,0,0,0,1,511
14460.1,0,0,0,0,512
14460.2,0,0,0,1,511
14460.2,0,0,0,0,512
14461.1,0,0,0,1,511
14461.1,0,0,0,0,512
14461.2,0,0,0,1,511
14461.2,0,0,0,0,512
14462.2,0,0,0,1,511
14462.2,0,0,0,0,512
14463.1,0,0,0,1,511
14463.1,0,0,0,0,512
14463.2,0,0,0,1,511
14463.2,0,0,0,0,512
14464.1,0,0,0,1,511
14464.1,0,0,0,0,512
14464.2,0,0,0,1,511
14464.2,0,0,0,0,512
14465.1,0,0,0,1,511
14465.1,0,0,0,0,512
14465.2,0,0,0,1,511
14465.2,0,0,0,0,512
14466.1,0,0,0,1,511
14466.1,0,0,0,0,512
14466.2,0,0,0,1,511
14466.2,0,0,0,0,512
14467.1,0,0,0,1,511
14467.1,0,0,0,0,512
14468.2,0,0,0,1,511
14468.2,0,0,0,0,512
14469.1,0,0,0,1,511
14469.1,0,0,0,0,512
14470.1,0,0,0,1,511
14470.1,0,0,0,0,512
14470.2,0,0,0,1,511
14470.2,0,0,0,0,512
14472.1,0,0,0,1,511
14472.2,0,0,0,0,512
14472.2,0,0,0,1,511
14472.2,0,0,0,0,512
14474.2,0,0,0,1,511
14474.2,0,0,0,0,512
14474.2,0,0,0,1,511
14474.2,0,0,0,0,512
14475.2,0,0,0,1,511
14475.2,0,0,0,0,512
14475.2,0,0,0,1,511
14475.2,0,0,0,0,512
14476.2,0,0,0,1,511
14476.2,0,0,0,0,512
14476.2,0,0,0,1,511
14476.2,0,0,0,0,512
14477.2,0,0,0,1,511
14477.2,0,0,0,0,512
14477.2,0,0,0,1,511
14477.2,0,0,0,0,512
14478.2,0,0,0,1,511
14478.2,0,0,0,0,512
14479.2,0,0,0,1,511
14479.2,0,0,0,0,512
14479.2,0,0,0,1,511
14479.2,0,0,0,0,512
14480.2,0,0,0,1,511
14480.2,0,0,0,0,512
14480.2,0,0,0,1,511
14480.2,0,0,0,0,512
14481.2,0,0,0,1,511
14481.2,0,0,0,0,512
14481.2,0,0,0,1,511
14481.2,0,0,0,0,512
14482.2,0,0,0,1,511
14482.2,0,0,0,0,512
14482.2,0,0,0,1,511
14482.2,0,0,0,0,512
14483.2,0,0,0,1,511
14483.2,0,0,0,0,512
14483.2,0,0,0,1,511
14483.2,0,0,0,0,512
14484.2,0,0,0,1,511
14484.2,0,0,0,0,512
14484.2,0,0,0,1,511
14484.2,0,0,0,0,512
14485.2,0,0,0,1,511
14485.2,0,0,0,0,512
14485.2,0,0,0,1,511
14485.2,0,0,0,0,512
14486.2,0,0,0,1,511
14486.2,0,0,0,0,512
14486.2,0,0,0,1,511
14486.2,0,0,0,0,512
14488.2,0,0,0,1,511
14488.2,0,0,0,0,512
14489.2,0,0,0,1,511
14489.2,0,0,0,0,512
14490.2,0,0,0,1,511
14490.3,0,0,0,0,512
14491.2,0,0,0,1,511
14491.2,0,0,0,0,512
14492.2,0,0,0,1,511
14492.2,0,0,0,0,512
14492.3,0,0,0,1,511
14492.3,0,0,0,0,512
14493.2,0,0,0,1,511
14493.2,0,0,0,0,512
14494.2,0,0,0,1,511
14494.2,0,0,0,0,512
14494.3,0,0,0,1,511
14494.3,0,0,0,0,512
14495.3,0,0,0,1,511
14495.3,0,0,0,0,512
14496.2,0,0,0,1,511
14496.2,0,0,0,0,512
14497.2,0,0,0,1,511
14497.2,0,0,0,0,512
14497.3,0,0,0,1,511
14497.3,0,0,0,0,512
14498.2,0,0,0,1,511
14498.2,0,0,0,0,512
14498.3,0,0,0,1,511
14498.3,0,0,0,0,512
14499.2,0,0,0,1,511
14499.2,0,0,0,0,512
14499.3,0,0,0,1,511
14499.3,0,0,0,0,512
14500.2,0,0,0,1,511
14500.2,0,0,0,0,512
14500.3,0,0,0,1,511
14500.3,0,0,0,0,512
14501.2,0,0,0,1,511
14501.2,0,0,0,0,512
14502.3,0,0,0,1,511
14502.3,0,0,0,0,512
14503.2,0,0,0,1,511
14503.2,0,0,0,0,512
14504.2,0,0,0,1,511
14504.2,0,0,0,0,512
14504.3,0,0,0,1,511
14504.3,0,0,0,0,512
14505.2,0,0,0,1,511
14505.2,0,0,0,0,512
14505.3,0,0,0,1,511
14505.3,0,0,0,0,512
14506.2,0,0,0,1,511
14506.2,0,0,0,0,512
14506.3,0,0,0,1,511
14506.3,0,0,0,0,512
14507.3,0,0,0,1,511
14507.3,0,0,0,0,512
14508.2,0,0,0,1,511
14508.2,0,0,0,0,512
14509.3,0,0,0,1,511
14509.3,0,0,0,0,512
14510.2,0,0,0,1,511
14510.2,0,0,0,0,512
14510.3,0,0,0,1,511
14510.3,0,0,0,0,512
14511.2,0,0,0,1,511
14511.2,0,0,0,0,512
14512.3,0,0,0,1,511
14512.3,0,0,0,0,512
14513.2,0,0,0,1,511
14513.2,0,0,0,0,512
14514.3,0,0,0,1,511
14514.3,0,0,0,0,512
14515.3,0,0,0,1,511
14515.3,0,0,0,0,512
14516.2,0,0,0,1,511
14516.2,0,0,0,0,512
14516.3,0,0,0,1,511
14516.3,0,0,0,0,512
14670,0,0,0,1,511
14670,0,0,0,0,512
14676,0,0,0,1,511
14676,0,0,0,0,512
14731.2,0,0,0,1,511
14731.2,0,0,0,0,512
14790.3,0,0,0,1,511
14790.3,0,0,0,0,512
14799.3,0,0,0,1,511
14799.3,0,0,0,0,512
14800.3,0,0,0,1,511
14904,0,0,0,0,512
14955,0,0,0,1,511
14955,0,0,0,0,512
14998.1,0,0,0,1,511
14998.1,0,0,0,0,512
15013.2,0,0,0,1,511
15013.2,0,0,0,0,512
15185,0,0,0,16,496
15185,0,0,0,0,512
15472,0,0,0,1,511
15472,0,0,0,0,512
15734,0,0,0,1,511
15734,0,0,0,0,512
16282,0,0,0,1,511
16282,0,0,0,0,512
16294,0,0,0,1,511
16294,0,0,0,0,512
16341,0,0,0,1,511
16341,0,0,0,0,512
16592,0,0,0,16,496
16592,0,0,0,0,512
17146,0,0,0,1,511
17146,0,0,0,0,512
17231,0,0,0,1,511
