job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
308,w0,D_1_1,11611.000000,1,120.000000,1,COMPLETED_SUCCESSFULLY,13863.061200,1.000000,13864.061200,2252.061200,2253.061200,2253.061200,408,-1.000000,""
309,w0,D_1_1,11613.000000,1,120.000000,1,COMPLETED_SUCCESSFULLY,13864.063400,1.000000,13865.063400,2251.063400,2252.063400,2252.063400,408,-1.000000,""
301,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13854.042600,12.000000,13866.042600,2268.042600,2280.042600,190.003550,5,-1.000000,""
302,w0,D_1_12,11586.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13858.041400,12.000000,13870.041400,2272.041400,2284.041400,190.336783,497,-1.000000,""
318,w0,D_1_13,11636.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13866.044800,13.000000,13879.044800,2230.044800,2243.044800,172.541908,5,-1.000000,""
321,w0,D_1_13,11636.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13870.043600,13.000000,13883.043600,2234.043600,2247.043600,172.849508,497,-1.000000,""
323,w0,D_1_13,11636.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13879.047000,13.000000,13892.047000,2243.047000,2256.047000,173.542077,5,-1.000000,""
326,w0,D_1_12,11637.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13883.045800,12.000000,13895.045800,2246.045800,2258.045800,188.170483,497,-1.000000,""
327,w0,D_1_12,11637.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13892.049200,12.000000,13904.049200,2255.049200,2267.049200,188.920767,5,-1.000000,""
331,w0,D_1_12,11637.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13895.048000,12.000000,13907.048000,2258.048000,2270.048000,189.170667,497,-1.000000,""
332,w0,D_1_12,11637.000000,1,3600.000000,1,COMPLETED_SUCCESSFULLY,13904.051400,12.000000,13916.051400,2267.051400,2279.051400,189.920950,5,-1.000000,""
